# 【理財達人秀】川普喊降息 台股大贏家？大立光跌停 封測.被動高換低？聯發科帶頭 有底部起漲股！2026.09.07
# 理財達人秀 EBCmoneyshow 20260907 https://youtu.be/baoJt33Pky0 method=whisper-small

[00:05] 歡迎收看《最佛心幽默》的財經節目《理財達人秀》
[02:04] 大立光星期天的時候
[02:06] ubs出了報告
[02:07] 直接降頻到賣出的平等
[02:10] 導致今天整體的光學股有點慘重哦
[02:13] 不過話說回來
[02:14] 這些股票也都是非常高位接了
[02:17] 所以呢
[02:18] 雲翔哥覺得科技股沒有死掉
[02:20] 只是高位接轉低位接
[02:22] 如果低位接有體質
[02:23] 本一筆合理的
[02:24] 例如被動元件
[02:25] 例如封測今天日月光表態
[02:27] 現在大好機會就來了哦
[02:30] 當您清點這兩個足行有哪些好股票哦
[02:33] 好第三位是我們的題材獵人漢偉哥
[02:36] 漢偉哥也在觀察他說
[02:38] 其實廢半叫做高低位接互轉
[02:41] 台股也有這樣的現象
[02:43] 如果您看到8月營收創新高
[02:46] 位接在中低接的
[02:48] 那肯定就是首選中的首選
[02:50] 他非常看好
[02:51] 高盛說台股會衝上5萬4
[02:53] 他說看得比高盛還要再高哦
[02:56] 是有理由的
[02:57] 可是這麼多的股票在轉換
[02:59] 一網打進呢
[03:00] 市值加動能型的ETF
[03:02] 可以幫你一網打進
[03:04] 等一下來介紹哦
[03:05] 好首先有請施工
[03:07] 劉寧老師
[03:08] 這個真的很有趣哦
[03:10] 我自己看到飛農16.2萬
[03:12] 想啊涼了涼了啦
[03:14] 只有川普出來大喊的時候
[03:16] 廢半就衝上去
[03:18] 我好吃驚哦
[03:20] 但無論如何台股
[03:21] 絕對是科技股大贏家
[03:23] 尤其是連發科帶頭
[03:24] 您看到還有很多
[03:25] 底部起張股
[03:26] 沒有錯的
[03:27] 那我們先看一下
[03:29] 這個16.2萬人
[03:31] 真的是下了一大跳
[03:33] 那天晚上說一看
[03:35] 怎麼會這麼高啊
[03:37] 想說完蛋了
[03:38] 而且夜盤就殺下去
[03:39] 對想說死定了
[03:40] 結果廢半大漲
[03:42] 運氣就是只有5.3萬人
[03:44] 然後呢大家就看
[03:46] 9月升級的機率呢
[03:47] 一口氣跳到
[03:49] 48.4
[03:50] 本來50以下囉
[03:51] 一下子又變成58.4
[03:53] 對就接近6成了嘛
[03:55] 6成 下禮拜就要決定
[03:57] 到底要不要升級了
[03:59] 那這個時候呢
[04:00] 川普就跳出來喊話了對不對
[04:02] 一看怎麼開始往下殺
[04:04] 那這個還得了嗎
[04:06] 這個如果連人會不降息的話
[04:08] 我們要停止跟貿易逆差
[04:10] 國停止貿易往來
[04:11] 我們在旁邊瑟瑟發抖
[04:12] 怎麼又關我們的事了嘛
[04:14] 對 跟我們什麼關係
[04:15] 我是沒有瑟瑟發抖啦
[04:17] 因為他沒事講出一些這個
[04:20] OK 好
[04:22] 所以你看哦
[04:23] 台灣股市 日本股市
[04:24] 因為韓股股市漲了4%
[04:26] 他真的都很強
[04:27] 為什麼會這個樣子呢
[04:29] 其實道理很簡單
[04:31] 什麼道理
[04:32] 那我跟大家講
[04:33] 因為呢
[04:34] 這個他叫升息的話
[04:36] 他升息的話呢
[04:37] 理論上來講
[04:38] 美元應該就要升值了
[04:40] 對不對
[04:41] 美元升值的話
[04:42] 那我們這一些的這個
[04:44] 在股市裡面的外資呢
[04:46] 就會跑到美元資產裡面去
[04:48] 因為呢 套繪套利嘛 對不對
[04:50] 可是呢大家沒發現
[04:52] 在禮拜五的時候
[04:53] 美元沒有升
[04:55] 沒有升值耶
[04:56] 今天外資甚至買了800多
[04:58] 也是跑回來
[04:59] 對 沒有錯
[05:00] 為什麼會這樣子
[05:01] 我跟大家講很簡單的道理
[05:03] 因為呢 日元在升值
[05:05] 然後呢 歐陽也準備要升息
[05:09] 對不對
[05:10] 日本呢 日央呢
[05:11] 升息的機會
[05:13] 升息的機會都超過了90%了
[05:15] 所以呢 這兩個
[05:17] 這個國家或地區呢
[05:18] 都要升息
[05:20] 那如果說他們都升息
[05:22] 然後呢 領準會不升息的話
[05:24] 那是不是兩邊就高起來了
[05:27] 那兩邊的幣值也會拉上來
[05:29] 對不對
[05:30] 相對來講 美元就會貶值了
[05:32] 那美元貶值的話
[05:33] 對我們是有利的
[05:34] 因為呢 當初跑出去的外資
[05:37] 就會回來了
[05:38] 像今天呢
[05:39] 其實就動作就相當明顯
[05:41] 對不對
[05:42] 那可是呢
[05:43] 還有一種可能性就是
[05:44] 大家都升息
[05:46] 大家都升息
[05:48] 那就表示美元跌不下去了
[05:50] 美元貶不下去了
[05:51] 這些台股是不利的
[05:53] 所以呢 下個禮拜
[05:55] 是一個非常非常關鍵的時刻
[05:57] 這個我們的指數
[05:59] 其實我們可以看一下
[06:00] 其實你看 今天是跳空上漲
[06:02] 拉出一根長紅
[06:04] 那最高的指數來到474了
[06:06] 47,400
[06:07] 距離這個48,200
[06:08] 只有800點
[06:09] 我們講句難聽一點
[06:11] 800點
[06:12] 跨一步就到了
[06:14] 跨一步嗎
[06:15] 對 也要看是誰跨對不對
[06:17] 對 沒有錯
[06:18] 所以呢 我們就要看
[06:19] 誰難代然的
[06:20] 其實呢 我在之前
[06:21] 就有跟大家講過了
[06:23] 講過好幾次
[06:24] 這個盤要上
[06:25] 要突破48,200點
[06:28] 甚至來挑戰5萬點
[06:29] 有沒有很難
[06:30] 一點都不難
[06:31] 只要台積電跟聯發科
[06:33] 聯手拉起來就過了
[06:35] 其他都不要動
[06:37] 都不要動
[06:38] 你不用幫忙
[06:39] 他們兩個就把它拉過去
[06:41] 為什麼那麼簡單呢
[06:42] 因為大家可以看一下
[06:43] 這個台積電今天收盤價2,660
[06:46] 據於他的錢高
[06:48] 就是2,535
[06:49] 只有3%而已
[06:50] 3% 有很難嗎 對不對
[06:52] 那聯發科呢
[06:53] 只有這個距離全波高
[06:54] 只有4.2%而已
[06:56] 有很難嗎
[06:57] 不要拉台積殺中小
[06:59] 我們都不反對
[07:01] 沒有錯
[07:02] 台電只要漲100塊
[07:04] 我們就過去了
[07:05] 對 沒錯
[07:06] 所以大家看一下
[07:08] 我們看一下
[07:09] 這個台積電有沒有機會上去
[07:11] 其實呢
[07:12] 當然我們從這個預估
[07:14] 他現在這個外資
[07:16] 給他2027年的EPS
[07:17] 143嘛
[07:18] 所以現在的EPS
[07:20] 大概才17倍而已
[07:21] 17倍真的很低
[07:23] 我一直在講他這個
[07:24] 這個本益比真的很低
[07:26] 好 我們看技術面
[07:27] 你看喔
[07:28] 他現在所有的短中期
[07:31] 的移動均線
[07:32] 全部都是在往上走
[07:34] 全部往上走
[07:35] 而且呢都已經
[07:36] 形成了多頭排列
[07:38] 形成多頭排列
[07:39] 就是那個數值
[07:40] 越小的在越上面
[07:42] 他形成多頭排列
[07:43] 他現在第一根長紅
[07:45] 只要呢再能夠
[07:47] 再拉一根長紅起來的話
[07:48] 讓他這些的短期
[07:50] 短中期的移動均線
[07:51] 包括了季線
[07:52] 一起往上推伸
[07:54] 那個力量是很強大的
[07:55] 所以要漲個
[07:57] 漲到253
[07:58] 我覺得問題應該不會
[08:00] 不會太大了
[08:02] 施工還在後面寫了
[08:03] 未去
[08:04] 對
[08:05] 直接可以把新生寫上去
[08:07] 沒有錯
[08:08] 然後我們看周限
[08:09] 我們上個禮拜來有講
[08:10] 他的周限
[08:11] 他形成一個收斂三角形
[08:14] 到上個禮拜
[08:15] 已經到了最尖端了
[08:17] 已經盤舞可盤了
[08:19] 盤舞可盤的話
[08:20] 他不是噴出就是跳水
[08:22] 那現在目前看起來
[08:23] 似乎是要噴出了
[08:25] 所以我們就是說
[08:27] 在這裡往上拉的話
[08:29] 而且他RSI
[08:30] 也還在相對一個
[08:31] 低檔的位置
[08:32] 所以我覺得
[08:33] 應該很有條件
[08:35] 除非國際股市不好
[08:36] 否則的話
[08:37] 他拉起來
[08:38] 應該是很具備
[08:40] 很具備他的條件
[08:41] 因為我們確實在等
[08:42] 肺半根韓股
[08:43] 我們跟他們兩個比一下
[08:44] 我們還是非常厲害
[08:46] 導致台積電
[08:47] 也一直等
[08:48] 對
[08:49] 還講真的
[08:50] 很委屈
[08:51] 除了等其他的股
[08:53] 台灣股市
[08:55] 其他的股票之外
[08:56] 還要等日本
[08:57] 還要等韓國
[08:58] 還要等美國
[08:59] 背半
[09:00] 是不是
[09:02] 好
[09:03] 八哥又快要挑戰千高了
[09:05] 對 我們看這個聯發科
[09:06] 聯發科真的是很精彩
[09:08] 我們上個禮拜有講過
[09:10] 上禮拜施工來接受
[09:11] 趙華仁說的專訪
[09:12] 講波浪理論
[09:13] 我覺得那一集
[09:14] 非常值得
[09:15] 好言賭波
[09:16] 到我頭都昏了
[09:18] 但是有特別提到
[09:19] 聯發科應該會有一個第五波
[09:21] 對
[09:22] 這第五波就會很過癮
[09:23] 所以我們可以看一下
[09:25] 因為如果用
[09:26] 2027年
[09:27] 還有2028年的
[09:28] EPS來算的話
[09:29] 他其實
[09:30] 用2027年EPS來算
[09:32] 他現在本益比台
[09:33] 43倍
[09:34] 以這個IC設計股來講
[09:36] 43倍其實不算高
[09:38] 對 但對發哥來說
[09:39] 是比較高一點
[09:40] 對 一般來講比較高
[09:42] 一般大家給他大概35倍
[09:44] 可是你如果用
[09:45] 2028年的EPS來算的話
[09:47] 就才17倍
[09:49] 那個就非常低了
[09:51] 所以這支股票
[09:52] 我們是這樣子看
[09:53] 他現在
[09:55] 這是周限
[09:56] 他漲上來了
[09:57] 那有沒有機會在這邊
[09:59] 就形成第五波的漲勢
[10:01] 這個值得注意
[10:03] 因為施工畫那個第五波
[10:05] 是很猛的
[10:06] 對
[10:08] 好 再過來
[10:09] 大家比較關心的是聯電
[10:10] 是啊
[10:11] 很多三個朋友
[10:12] 好 那聯電
[10:13] 他其實你如果看他
[10:15] 這邊一個橫向區間震盪
[10:18] 他為什麼區間震盪
[10:19] 因為底下
[10:20] 上面是季線
[10:21] 底下是半年線
[10:22] 它是這兩條長
[10:23] 夾在中間
[10:24] 對 夾在中間震盪
[10:25] 然後現在也是一樣
[10:26] 你看他今天
[10:27] 一根長紅拉起來的話
[10:28] 五日線 十日線 月線
[10:30] 形成多頭排列
[10:31] 所以至少在短期內
[10:34] 他應該還有更高點
[10:35] 可以值得期待的
[10:37] 那麼不過
[10:38] 因為他今天才剛剛突破了季線
[10:40] 季線已經形成了
[10:41] 這個壓力已經形成了
[10:42] 大概兩個多月了
[10:44] 所以不排除
[10:45] 他有可能會短線上拉回來
[10:47] 測試一下
[10:48] 季線能不能夠
[10:49] 從壓力轉換成支撐
[10:51] 那我是看
[10:53] 技術面向來講的話
[10:54] 他應該不會有太大的問題
[10:57] 應該是還有更高點
[10:58] 可以值得期待
[10:59] 營收也還不錯
[11:00] 對 他其實都還不錯
[11:02] 好 那麼我剛才講到
[11:03] 台積電 聯發科了嘛 對不對
[11:05] 所以我們這一次
[11:07] 就是看這個台積電的概念股
[11:09] 因為台積電的概念股
[11:11] 因為現在有很多股票
[11:12] 都已經創新高了
[11:13] 對不對 都創新高了
[11:15] 那麼可是
[11:17] 在這個台積電概念股裡面
[11:19] 有很多的股票
[11:20] 其實還在打底
[11:22] 而且業績又很好
[11:24] 然後還在打底
[11:26] 因為大哥不表態
[11:27] 大哥就乖乖排隊
[11:28] 沒錯 沒錯
[11:30] 那等一下
[11:31] 我們會把這些股票
[11:33] 分別來跟大家講
[11:34] 是 還有一些的股票
[11:36] 其實我最近觀察了
[11:38] 這個大盤的走勢
[11:39] 各國的走勢
[11:40] 如果有創新高的股票
[11:42] 通常他都會出現一個集諜的走勢
[11:45] 創新高以後的集諜
[11:47] 創新高以後的集諜
[11:48] 那麼所以我們現在要找什麼呢
[11:49] 要找
[11:50] 它這個底部型態
[11:52] 已經完成了
[11:53] 那麼隨時有機會開始反彈的
[11:55] 位置還在相對低檔
[11:58] 那麼像是等一下
[11:59] 我們會跟大家介紹
[12:00] 像是申達科 金居
[12:02] 這兩張股票
[12:03] 跟大家介紹一下
[12:04] 這個台達電
[12:06] 我們之前有跟大家介紹過台達電
[12:08] 8月24號來救救台達電
[12:10] 對 那個時候我們就覺得說
[12:12] 這支股票太委屈了一點
[12:15] 我覺得太委屈了一點
[12:16] 因為當時我們講
[12:18] 它本一比賽多少
[12:19] 26倍而已
[12:20] 而且還說已經到智習量
[12:22] 真的好低喔 那天的量
[12:24] 對啊 非常小
[12:25] 所以它最近的量
[12:26] 也開始增加
[12:27] 不過它是受制於這個季線
[12:29] 下彎季線壓制
[12:30] 對 下彎季線
[12:31] 可是我覺得
[12:32] 因為它在那邊做收斂三角形的整理
[12:34] 已經快要到尖端了
[12:36] 它隨時要可以表態了
[12:38] 可以大家注意一下
[12:39] 另外343的創意
[12:41] 創意我們是在這個
[12:43] 7月底的時候跟大家介紹的
[12:45] 介紹以後
[12:46] 它還疊了兩支停板
[12:48] 將近兩支停板
[12:50] 那時候疊的心都碎了
[12:51] 可是你看它回來的速度
[12:53] 下時
[12:54] 創歷史新高
[12:55] 對 它在創歷史新高
[12:57] 可是我就剛跟大家講了
[12:59] 就是說當創歷史新高以後
[13:01] 你沒發現它會一根長黑拉回來
[13:03] 然後再整理
[13:04] 它為什麼要再整理呢
[13:06] 要等其他的移動均線往上
[13:08] 來跟它會合
[13:09] 那所以呢
[13:10] 這檔股票
[13:11] 我覺得
[13:12] 因為它這個
[13:13] 現在在AI這個產業裡面
[13:15] 它的這個地位其實還滿重要的
[13:18] 所以我覺得這支股票
[13:19] 還是可以注意一下
[13:21] 營收其實非常漂亮
[13:23] 創高壓回讓它休息一下
[13:25] 對 沒有錯
[13:26] 好 來我們現在介紹紅塑
[13:28] 還躺在那
[13:29] 還躺
[13:30] 趴在
[13:31] 趴在那
[13:32] 對
[13:33] OK
[13:34] 其實你可以看
[13:35] 它這邊趴在這邊
[13:36] 然後你可不可以注意到
[13:37] 它所有的短期移動均線
[13:39] 全部都糾結在一起了
[13:40] 對
[13:41] 其實我剛剛講的
[13:42] 你只要拉出一根長紅
[13:43] 兩支長紅的話
[13:44] 它就全部形成多頭排列
[13:46] 一起往上推
[13:48] 往上推
[13:49] 至少是可以
[13:50] 應該要看到這個季線
[13:52] 這個半年一線的壓力
[13:53] 應該看到
[13:54] 而且它上檔
[13:55] 其實並沒有什麼套老壓力
[13:57] 你看這一塊
[13:58] 對不對
[13:59] 它真的套老壓力是在這邊
[14:00] 已經到了
[14:01] 大概差不多3500塊左右
[14:03] 那邊才有這個套老壓力
[14:06] 它在這邊
[14:07] 還可不可以繼續盤
[14:08] 也可以看它高興
[14:10] 可是呢
[14:11] 再往下跌的空間
[14:13] 就比較沒有什麼下跌的空間了
[14:15] 所以這支股票
[14:16] 我覺得是
[14:17] 大家可以注意一下
[14:18] 好 實質 沈之王
[14:19] 就是紅塑
[14:20] 好 君華
[14:21] 因為技術面來看
[14:22] 你看左肩 底部 右肩
[14:24] 我也會講了 頭肩底
[14:26] 這邊是 對 沒錯
[14:28] 形成一個頭肩底
[14:29] 而且呢
[14:30] 它不但突破了季線
[14:31] 而且突破了這個半年線
[14:33] 半年線
[14:34] 今天盤上之後
[14:35] 拉回來測試半年線
[14:36] 測試成功
[14:38] 所以這支股票
[14:40] 而且它在這裡
[14:41] 出現了 放量
[14:42] 放量
[14:43] 開始放量
[14:44] 所以這支股票
[14:45] 我覺得是有機會的
[14:47] 施工一定很多人說
[14:48] 737
[14:49] 長到這邊
[14:50] 13已經長好多了
[14:51] 但錢高是在前面
[14:53] 而且它上檔
[14:54] 沒有什麼套勞壓力
[14:56] 對不對
[14:57] 因為我們在選股票的時候
[14:59] 我們第一個要選
[15:00] 底部型態已經確立了
[15:01] 然後呢
[15:02] 上檔沒有什麼套勞壓力
[15:04] 像是曾達科就是
[15:06] 我們不管SPECIX怎麼樣
[15:08] 大家看一下
[15:09] 底部也是一樣
[15:11] 這邊也是形成一個類似
[15:13] 像是這個頭肩底的一個走勢
[15:15] 它現在受困在半年線
[15:18] 它被半年線壓著
[15:20] 可是你可以注意看
[15:21] 它的大量是在底部
[15:23] 它上檔這一塊區域
[15:25] 其實根本沒有什麼套勞壓力
[15:27] 所以簡單來講
[15:28] 以移動均線來講
[15:30] 它只要站穩了半年線
[15:32] 它就有機會往上攻
[15:34] 而且短期移動均線
[15:35] 也是一樣
[15:36] 已經形成多頭排列了
[15:38] 那頭肩是連續買3個月
[15:40] 雖然買的不多
[15:41] 2023張
[15:42] 可是至少它是連續買超的
[15:45] 也希望營收趕快回溫
[15:47] 公司也有講
[15:48] 8月以後就回溫了
[15:49] 沒有錯
[15:50] 其實它上半年EPS還不錯
[15:53] 它年增率247%
[15:55] 所以它基本面其實是不錯的
[15:58] 另外一個大家可能就比較感興趣
[16:00] 835
[16:01] 對 它現在
[16:03] 它是在備則處置期間
[16:05] 其實當時我們7月27號講了
[16:08] 到今天為止大概長了38%
[16:11] 這些原物料
[16:13] 它上漲的機會是非常大的
[16:16] 而且銅的價格
[16:18] 就是現在已經在高檔了
[16:20] 所以現在
[16:21] 所以你的原料漲的話
[16:23] 它自己本身的價值
[16:26] 當然也就開始漲
[16:27] 過去兩個禮拜
[16:28] 外資是連續買超的6,000至6,000張
[16:31] 同樣的
[16:32] 它這邊一個底部型態
[16:33] 也已經成立了
[16:34] 上檔的套到壓力
[16:35] 其實並不是很大
[16:36] 因為這邊的才是放量
[16:39] 當初在套到的時候
[16:41] 當初高檔的時候
[16:42] 大部分都是在處置
[16:44] 延到晚被處置
[16:46] 你知道嗎
[16:47] 那股票我覺得
[16:48] 零碳來講的話
[16:49] 技術面來講的話
[16:50] 它應該還有高點可以值得期待的
[16:53] 好 所以其實就是
[16:54] 台股的可用之兵
[16:56] 很多
[16:57] 真的很多
[16:58] 不管誰起來哪個族群起來
[17:00] 都還有機會把台股繼續往上
[17:02] 沒有錯
[17:03] 這邊非常謝謝施工
[17:04] 謝謝
[17:05] 好 施工要提醒
[17:06] 當然這個盤是
[17:07] 不是川普一句話
[17:08] 就可以喊上來的
[17:09] 還是回歸到
[17:11] 台股在AI科技發展上面
[17:13] 基本面非常強勁
[17:14] 一機還有好多人沒發動
[17:17] 台積電就是其中一個例子了
[17:19] 明明前景是如此之透明
[17:21] 只要再拉100塊錢
[17:23] 過新高
[17:24] 台股也就順勢過高了
[17:26] 而更值得留意的是
[17:27] 台一電相關的供應鏈
[17:29] 明明業績都好到不行
[17:30] 而底部都打完了
[17:32] 都非常漂亮的形態了
[17:34] 就等一聲令下
[17:35] 就可以一起往上衝
[17:37] 這邊可用之兵
[17:38] 很多提供給您了
[17:40] 好 廣告回來
[17:41] 音響告上場了
[17:42] 今天大力光
[17:43] 也停板
[17:44] 原因在六日的時候
[17:45] 外資出報告降了平等
[17:47] 但說實話
[17:48] 就呼應剛剛施工講的
[17:49] 創高壓迴難免
[17:51] 要看資金流到哪裡
[17:52] 等一下來跟您講
[17:53] 被動元件跟封測
[17:55] 今天有明顯的表態
[17:57] 也有非常多的好股票
[17:59] 最近的AI熱潮
[18:00] 是持續的發酵
[18:01] 不只台積電的股價
[18:02] 是屢創新高
[18:04] 0050也跟著水漲船高
[18:06] 艾倫老師你知道嗎
[18:07] 就在很多的爸媽
[18:09] 都會幫孩子
[18:10] 從出生就開始存0050
[18:12] 如果我是每個月
[18:13] 定期定了10000塊錢
[18:14] 到18歲可以存到多少
[18:16] 如果我們每個月
[18:17] 存10000塊
[18:18] 18年會有216個月
[18:20] 過去回推年化報酬率
[18:21] 每年大概是8個百分比
[18:23] 有機會會累積到
[18:24] 480萬元
[18:26] 不過雖然說存錢不錯
[18:28] 但是孩子本身的
[18:29] 成長發展也很關鍵
[18:31] 沒錯 身為父母
[18:32] 除了你幫孩子存財富之外
[18:34] 你還要幫他存
[18:35] 未來的競爭力
[18:36] 就像裝廣合堂
[18:37] 轉大人翠滴金
[18:38] 他是有台灣第一位
[18:39] 女中醫
[18:40] 裝俗期博士
[18:41] 自己親自調配出來的
[18:43] 針對男生跟女生
[18:44] 還有陳龍跟陳鳳的配方
[18:46] 還有三胞胎的成長時政
[18:48] 這個就是孩子成長的
[18:50] 0050
[18:51] 存0050
[18:52] 是幫孩子累積財富
[18:53] 為孩子補充精準的營養
[18:55] 是幫孩子累積未來的本錢
[18:57] 孩子的成長不能等
[18:59] 好 今天晚上
[19:00] 美股是修飾的
[19:01] 就來看台股表演
[19:03] 但是不管是費辦
[19:04] 或是我們都有一個現象
[19:06] 就是高低未接的轉換
[19:08] 我們來請教一下雲翔哥
[19:10] 其實大立光跌停
[19:12] 也不能說是對或不對
[19:13] 因為漲到8000
[19:14] 所以外資就覺得
[19:15] 要不要換一些比較便宜的
[19:18] 那你剛好也在觀察
[19:19] 高換低的這個情況
[19:21] 今天月光有表態
[19:22] 被動元件更不用說了
[19:23] 上個禮拜
[19:24] 新倉殿合生堂
[19:25] 就在今天旭盆
[19:26] 你覺得委屈股
[19:27] 是不是要出頭了
[19:28] 對 我覺得應該會
[19:30] 是
[19:31] 我們先講一下大立光
[19:32] 好
[19:33] 因為基本上這一次
[19:35] 大立光是從大概3000
[19:38] 對
[19:39] 3000多
[19:40] 這一路基本上一個月
[19:42] 大概就翻了一倍
[19:43] 所以等於是這一段來講
[19:44] 應該有漲了大概
[19:46] 大概漲了4000塊
[19:48] 所以這一段就是說
[19:50] 如果你講說
[19:51] 他降頻對不對
[19:53] 因為基本上確實
[19:55] 因為坦白講
[19:56] 他要嘛早點講
[19:59] 為什麼
[20:00] 不要再被關的時候降
[20:02] 被關了很麻煩
[20:04] 那基本上我們來看
[20:06] 以大立光來講
[20:08] 他的業績坦白講
[20:09] 其實也就是平平的
[20:11] 對 以過去的營收來講
[20:13] 其實他營收落點來講
[20:15] 也比去年可能還稍微低一點
[20:17] 對 那他的EPS來講
[20:19] 也比之前
[20:20] 第一季 第二季來講
[20:22] 都有點下滑
[20:23] 那原因來講
[20:24] 其實大家都知道說
[20:25] 大立光主要是
[20:26] 做高階鏡頭
[20:27] 所以大概1000萬畫
[20:29] 數以上的
[20:30] 大概可能就占了
[20:31] 他7成以上的營收來源
[20:34] 所以就算他CPO的這一塊
[20:37] 目前來講
[20:38] 評估也大概只有大概20%
[20:40] 而且不是現在
[20:41] 是
[20:42] 是2027年以後慢慢陸續
[20:44] 所以就是說
[20:45] 你現在看到他數字
[20:46] 怎麼樣的成長
[20:47] 就比較難
[20:48] 所以現在只要有一個
[20:50] 這樣的一個動作來講
[20:52] 當然對他的傷害就比較大
[20:54] 所以我倒覺得說
[20:55] 以這一點來講
[20:56] 當然長期應該是看好
[20:58] 可是目前來講就是說
[21:00] 就以他這個基本面的落點來講
[21:02] 確實本益比是高一點
[21:04] 所以我才希望說
[21:06] 說我運作來講
[21:08] 當然是稍微避開這種
[21:09] 所謂的比較偏高
[21:11] 然後容易
[21:12] 這個稍微可能
[21:14] 有這種降頻的風險
[21:16] 那找一些位階比較低一點
[21:18] 那業績目前來講
[21:20] 很明顯看得到
[21:21] 這一兩年實際上成長
[21:23] 真的不是大立光不好
[21:24] 因為我們節目
[21:25] 也非常喜歡大立光
[21:27] 只是要提醒大家
[21:28] 未接上的轉換
[21:29] 還有很多可以照應的
[21:31] 可能看在2027年後的
[21:33] 應該是這樣講
[21:34] 當然如果跌下來合理
[21:35] 我們也會這樣
[21:36] 對 當然
[21:37] 也會再講他
[21:38] 那另外來講
[21:39] 我覺得說
[21:40] 連亞今天當然也是跌
[21:42] 不過你看就說
[21:43] 連亞跟大立光不一樣說
[21:44] 在CBO這塊來講
[21:46] 他是真正的成分非常高
[21:48] 營收也在噴
[21:49] 對 所以你看說
[21:50] 他的營收持續來講
[21:51] 還是持續創高的
[21:52] 然後他的這個
[21:54] 第一季 第二季來講
[21:55] 這很明顯
[21:56] 第二季已經拉上了
[21:57] 不過一樣
[21:58] 就是說如果以目前這樣
[22:00] 這樣一片就四塊多
[22:01] 要去支撐他
[22:02] 大概三千多塊的股價來講
[22:04] 也是有偏高一點
[22:05] 所以我覺得說
[22:06] 現在這樣的一個拉回
[22:07] 我覺得都是一個
[22:08] 蠻合理的狀況
[22:09] 健康的狀況
[22:10] 對 所以就是說
[22:11] 以現在拉回來講
[22:12] 當然月線是一個
[22:14] 明顯的一個支撐
[22:15] 那跌破月線
[22:16] 我覺得說
[22:17] 短線如果有獲利的情況下
[22:19] 我覺得說
[22:20] 要是我會先跑一趟
[22:21] 在這個位置點來講
[22:23] 就是等他整理過後
[22:24] 在現場基本上都可以
[22:26] 是
[22:27] 因為這個高位接轉弱的時候
[22:30] 雲翔哥抓得很清楚
[22:31] 像當初國劇
[22:32] 或一千塊你覺得
[22:33] 不是禮物是要落寶
[22:35] 對 好
[22:36] 其實今天
[22:37] 外資是大買的
[22:39] 對 聽說今天買了800多億
[22:41] 880記憶
[22:42] 那其實很多這個
[22:44] 不錯股票來講
[22:45] 像志愉光
[22:46] 今天是買了快兩萬張
[22:48] 對 等於是近年來
[22:49] 應該是買了一個最大量
[22:51] 主要是什麼
[22:52] 博爾康
[22:53] 博爾康當然
[22:54] 這兩天有新聞出來
[22:55] 就是說
[22:56] 在AI的營收來講
[22:57] 他認為是有一個
[22:58] 很爆發性的一個成長
[23:00] 所以他只有估出來一個數值就是說
[23:02] 在二零二六年
[23:03] 那時候的年度的一個
[23:04] 估算是580億
[23:06] 那二零二七年度來講
[23:08] 就是增長了一倍
[23:09] 對 他二零二八年
[23:10] 又增長了一倍
[23:11] 所以他認為說
[23:12] 大概這兩年來講
[23:14] 都是翻倍的一個情況產生
[23:16] 所以他的美股存儀來講
